
450845007411294209|37.38366114|-97.1247959|Shelbylauren223|Tue Apr 01 04:00:00 +0000 2014|There's so many of the Disney princesses in the movie Frozen. Wooah 😱|disney frozen many movie princesses the there wooah
450845007482605568|39.67004953|-86.26687434|BradHasSwagger|Tue Apr 01 04:00:00 +0000 2014|Yo happy birthday to the ugliest of them all @TheChrisCornett|all birthday happy the them ugliest
450845007633588225|33.42269085|-111.93005373|bryciii|Tue Apr 01 04:00:00 +0000 2014|My sister would get on the @AnaheimDucks kiss cam... #YES @PeytonZiemer ❤️|#yes cam get kiss sister the would
450845007688531968|35.41902487|-78.80424554|ashtongravelle|Tue Apr 01 04:00:00 +0000 2014|A dream I've had for years came true tonight 😊 I can't believe I got to meet my favorite band and… http://t.co/pTPJZIueek|and band believe came can dream favorite for got had meet tonight true years
450845007696498688|40.10476426|-88.22259793|shits_n_gigs_|Tue Apr 01 04:00:00 +0000 2014|I'm just an insignificant person with insignificant problems.|insignificant just person problems with
450845007763615744|44.2985834|-93.272852|FatButFly|Tue Apr 01 04:00:00 +0000 2014|https://t.co/bqcGL9ilb0 Big shout out to my bros @ThatTwoGuad @Eddy_StyleZ for killin this vid and keepin the movement alive #stilljerkin|#stilljerkin alive and big bros for keepin killin movement out shout the this vid
450845007772418049|30.18633018|-81.8168885|jaymulamula|Tue Apr 01 04:00:00 +0000 2014|“@Mvlatto_: pussy phat, pussy juicy” -jors life|jors juicy life mvlatto phat pussy
450845007809744897|36.53132505|-119.29164973|lilg_559|Tue Apr 01 04:00:00 +0000 2014|Nice shit from the angles|angles from nice shit the
450845007868878848|38.77031664|-76.98768104|TweetBucky|Tue Apr 01 04:00:00 +0000 2014|@Scotty_DoesIt your tweets be funny af|funny tweets your
450845007939788801|41.5190948|-88.0718613|genovevaortiz86|Tue Apr 01 04:00:00 +0000 2014|Oh no !!!! April showers|april showers
450845007965351936|32.79037773|-83.6948533|tomeacia|Tue Apr 01 04:00:00 +0000 2014|Lil Shawty don't get off til 1:30 &amp; I'm bored , Ima be sleep when he clock out fuck dot !!!!|bored clock don dot fuck get ima lil off out shawty sleep til when
450845007973343232|35.9675873|-84.0297143|Travis_Cabage|Tue Apr 01 04:00:00 +0000 2014|"@ESPNMondayNight: We would like to wish Jon the best as he goes with Peyton Manning to the Vols basketball team." YES!|basketball best espnmondaynight goes jon like manning peyton team the vols wish with would yes
450845007994298369|25.63861111|-100.29277778|DW9577SW|Tue Apr 01 04:00:00 +0000 2014|Wind 0.0 km/h SSW. Barometer 1012.5 mb, Rising. Temperature 25.3 °C. Rain today 0.0 mm. Humidity 64%|1012 barometer humidity rain rising ssw temperature today wind
450845008024059904|40.73584097|-73.90406758|desireejs_|Tue Apr 01 04:00:00 +0000 2014|“@fivesosed: only the 5SOS fam https://t.co/aYgdi5s27z”❤️😍😍😍😍👏👏👏yessss|5sos fam fivesosed only the
450845008024068096|27.90540209|-82.76535373|SharkTheFA|Tue Apr 01 04:00:00 +0000 2014|@CherryBomb_cK congrats|congrats
450845008053039104|41.7039132|-86.23458941|TheRealNelia|Tue Apr 01 04:00:00 +0000 2014|I wasn't ready|ready wasn
450845008057233408|38.69191827|-120.99201749|carynvieira|Tue Apr 01 04:00:00 +0000 2014|"she probs likes him cuz he still hot n played a sport last year" @austineldred_ - "What'd he play golf😂" god damnit lol|cuz damnit god golf him hot last likes lol play played probs she sport still what year
450845008091160576|37.16768175|-94.84705203|vee_valle|Tue Apr 01 04:00:00 +0000 2014|@xo_gld @MorgannnBoo stayyy MIA!! ol bishhh asss 😉|asss bishhh mia stayyy
450845008157892608|39.63932504|-86.85989097|NickTobar6|Tue Apr 01 04:00:00 +0000 2014|@emmyward456 gotta love it|gotta love
450845008170479616|33.690389|-116.2450169|pena0902|Tue Apr 01 04:00:00 +0000 2014|Got em! #Angels|#angels got
450845008204017664|47.65952256|-122.30391559|GoCharmandre|Tue Apr 01 04:00:00 +0000 2014|@reemadhanani resist until you're in the comfort of your own room with a box of tissues!|box comfort own resist room the tissues until with you your
450845008233373696|32.52271213|-92.62945449|millionAire_too|Tue Apr 01 04:00:00 +0000 2014|That 20 Minute Nap Got Me Rejuvinated...😙|got minute nap rejuvinated that
450845008233390081|32.6585992|-96.8650344|Emman3X|Tue Apr 01 04:00:00 +0000 2014|Promise you, ima be a white boy in college|boy college ima promise white you
450845008233394176|34.10126834|-117.61032248|Alexisss_Loveee|Tue Apr 01 04:00:00 +0000 2014|“@ewwwwnicole: tru http://t.co/jplESTVFbP”|ewwwwnicole tru
450845008384360448|33.3784421|-111.9886887|LVEKCBUASi|Tue Apr 01 04:00:00 +0000 2014|@cedesramirez girl let's fade|fade girl let
450845008438890496|37.674303|-97.4133581|Caseyy_cx|Tue Apr 01 04:00:00 +0000 2014|i don't know if i will.....|don know will
450845008438910977|38.60030973|-121.42880486|ElsieNegrete|Tue Apr 01 04:00:00 +0000 2014|I swear Miguel is in drugs haha|drugs haha miguel swear
450845008476663808|43.44111111|-79.66611111|TOWARF_Wx|Tue Apr 01 04:00:00 +0000 2014|#Oakville 00:00 Calm ---0.0kts G0.0kts 1019.99hPa Falling slowly 3.9C Falling DP-1.9C RH66% http://t.co/d34HRzaJ1f|#oakville 0kts 1019 99hpa calm falling rh66 slowly
450845008586100737|41.89900222|-87.88740397|_Chinoo23|Tue Apr 01 04:00:01 +0000 2014|@TrillestAlex smh apperently the jv field wasnt ready and we practiced there. Wtf is wrong with proviso 😓|and apperently field practiced proviso ready smh the there wasnt with wrong wtf
450845008674185216|29.93642409|-90.19976322|Bocephus50|Tue Apr 01 04:00:01 +0000 2014|I love Elvis|elvis love
450845008703131649|39.1941945|-84.41114405|_cpaddy|Tue Apr 01 04:00:01 +0000 2014|@Nana_Green33 lol that ratchet show I have to stay away from|away from have lol ratchet show stay that
450845008728293376|31.07522149|-92.05311932|emilyaimeesmom|Tue Apr 01 04:00:01 +0000 2014|Smh some people take things too far was all that shit really needed to be said all you're doing is showing everyone how childish you are.|all are childish doing everyone far how needed people really said shit showing smh some take that things too was you
450845008807993344|43.06936884|-89.40083741|sassy_shanisey|Tue Apr 01 04:00:01 +0000 2014|"Hey Sami do you remember when I sucked your finger this weekend?" "Yea I felt your tongue technique and everything" @samilangee 😂|and everything felt finger hey remember sami sucked technique this tongue weekend when yea you your
450845008929628160|33.86137709|-118.36174047|allievorn|Tue Apr 01 04:00:01 +0000 2014|Wish things worked in my favor every now and then|and every favor now then things wish worked
450845009005543424|40.001931|-79.9047335|Dfergusonnn|Tue Apr 01 04:00:01 +0000 2014|I want to hold your hand.|hand hold want your
450845009294946304|33.38534926|-84.77286506|somuchmaryjane|Tue Apr 01 04:00:01 +0000 2014|I need thank shxt I had on thanksgiving that shxt had me gone 😌|gone had need shxt thank thanksgiving that
450845009328472064|36.08944135|-80.22352919|Celebrity_Ke|Tue Apr 01 04:00:01 +0000 2014|It's gonna be a long night 😩|gonna long night
450845009349058560|33.58566659|-112.38835027|Tucker_the_Cat|Tue Apr 01 04:00:01 +0000 2014|@Gibbons_Dalton wow ur perf|perf wow
450845009437155328|34.04536798|-117.45950402|Comboverlyfee|Tue Apr 01 04:00:01 +0000 2014|@mdude131 well when are you gonna lose your virginity ?|are gonna lose virginity well when you your
